Time,Rotation_pA_01,Rotation_pB_01,Rotation_pC_01
17.600,-104.000,NaN,NaN,
17.700,-104.000,NaN,NaN,
17.800,-104.000,NaN,NaN,
17.900,-104.000,NaN,NaN,
18.000,-104.000,NaN,NaN,
18.100,-104.000,NaN,NaN,
18.200,-104.000,NaN,NaN,
18.300,-104.000,NaN,NaN,
18.400,-105.000,NaN,NaN,
18.500,-105.000,NaN,NaN,
18.600,-105.000,NaN,NaN,
18.700,-105.000,NaN,NaN,
18.800,-105.000,NaN,NaN,
18.900,-105.000,NaN,NaN,
19.000,-130.000,NaN,NaN,
19.100,-153.000,NaN,NaN,
19.200,-160.000,NaN,NaN,
19.300,-160.000,NaN,NaN,
19.400,-160.000,NaN,NaN,
19.500,-160.000,NaN,NaN,
19.600,-160.000,NaN,NaN,
19.700,-160.000,NaN,NaN,
19.800,-160.000,NaN,NaN,
19.900,-160.000,NaN,NaN,
20.000,-160.000,NaN,NaN,
20.100,-160.000,NaN,NaN,
20.200,-160.000,NaN,NaN,
20.300,-160.000,NaN,NaN,
20.400,-160.000,NaN,NaN,
20.500,-160.000,NaN,NaN,
20.600,-160.000,NaN,NaN,
20.700,-160.000,NaN,NaN,
20.800,-160.000,NaN,NaN,
20.900,-160.000,NaN,NaN,
21.000,-160.000,NaN,NaN,
21.100,-160.000,NaN,NaN,
21.200,-160.000,NaN,NaN,
21.300,-160.000,NaN,NaN,
21.400,-160.000,NaN,NaN,
21.500,-160.000,NaN,NaN,
21.600,-160.000,NaN,NaN,
21.700,-160.000,NaN,NaN,
21.800,-160.000,NaN,NaN,
21.900,-160.000,NaN,NaN,
22.000,-160.000,NaN,NaN,
22.100,-160.000,NaN,NaN,
22.200,-160.000,NaN,NaN,
22.300,-160.000,NaN,NaN,
22.400,-160.000,NaN,NaN,
22.500,-160.000,NaN,NaN,
22.600,-159.000,NaN,NaN,
22.700,-159.000,NaN,NaN,
22.800,-159.000,NaN,NaN,
22.900,-159.000,NaN,NaN,
23.000,-160.000,NaN,NaN,
23.100,-160.000,NaN,NaN,
23.200,-160.000,NaN,NaN,
23.300,-160.000,NaN,NaN,
23.400,-160.000,NaN,NaN,
23.500,-160.000,NaN,NaN,
23.600,-160.000,NaN,NaN,
23.700,-160.000,NaN,NaN,
23.800,-160.000,NaN,NaN,
23.900,-160.000,NaN,NaN,
24.000,-160.000,NaN,NaN,
24.100,-160.000,NaN,NaN,
24.200,-160.000,NaN,NaN,
24.300,-160.000,NaN,NaN,
24.400,-160.000,NaN,NaN,
24.500,-160.000,NaN,NaN,
24.600,-160.000,NaN,NaN,
24.700,-160.000,NaN,NaN,
24.800,-160.000,NaN,NaN,
24.900,-160.000,NaN,NaN,
25.000,-160.000,NaN,NaN,
25.100,-160.000,NaN,NaN,
25.200,-160.000,NaN,NaN,
25.300,-160.000,NaN,NaN,
