Time,Rotation_pA_01
31.900,-105.000,
32.000,-105.000,
32.100,-105.000,
32.200,-105.000,
32.300,-105.000,
32.400,-105.000,
32.500,-105.000,
32.600,-105.000,
32.700,-105.000,
32.800,-105.000,
32.900,-105.000,
33.000,-105.000,
33.100,-94.000,
33.200,-92.000,
33.300,-92.000,
33.400,-92.000,
33.500,-92.000,
33.600,-92.000,
33.700,-92.000,
33.800,-92.000,
33.900,-92.000,
34.000,-92.000,
34.100,-92.000,
34.200,-92.000,
34.300,-92.000,
34.400,-92.000,
34.500,-92.000,
34.600,-92.000,
34.700,-91.000,
34.800,-71.000,
34.900,-69.000,
35.000,-69.000,
35.100,-69.000,
35.200,-69.000,
35.300,-69.000,
35.400,-69.000,
35.500,-69.000,
35.600,-69.000,
35.700,-69.000,
35.800,-68.000,
35.900,-68.000,
36.000,-68.000,
36.100,-58.000,
36.200,-49.000,
36.300,-49.000,
36.400,-49.000,
36.500,-49.000,
36.600,-49.000,
36.700,-49.000,
36.800,-49.000,
36.900,-49.000,
37.000,-49.000,
37.100,-49.000,
37.200,-49.000,
37.300,-49.000,
37.400,-49.000,
37.500,-49.000,
37.600,-49.000,
37.700,-48.000,
37.800,-48.000,
37.900,-48.000,
38.000,-48.000,
38.100,-48.000,
38.200,-42.000,
38.300,-24.000,
38.400,-24.000,
38.500,-24.000,
38.600,-24.000,
38.700,-24.000,
38.800,-24.000,
38.900,-24.000,
39.000,-24.000,
39.100,-24.000,
39.200,-24.000,
39.300,-24.000,
39.400,-24.000,
39.500,-24.000,
39.600,-24.000,
39.700,-23.000,
39.800,-23.000,
39.900,-23.000,
40.000,-9.000,
40.100,-9.000,
40.200,-9.000,
40.300,-9.000,
40.400,-9.000,
40.500,-9.000,
40.600,-9.000,
40.700,-9.000,
40.800,-9.000,
40.900,-9.000,
41.000,-9.000,
41.100,-9.000,
41.200,-9.000,
41.300,-9.000,
41.400,-9.000,
41.500,-9.000,
41.600,-9.000,
41.700,-9.000,
41.800,-9.000,
41.900,-9.000,
42.000,-9.000,
42.100,-9.000,
42.200,-9.000,
42.300,-9.000,
42.400,-9.000,
42.500,-9.000,
42.600,-9.000,
42.700,-9.000,
42.800,-9.000,
42.900,-9.000,
43.000,-9.000,
43.100,-9.000,
43.200,-9.000,
43.300,-9.000,
43.400,-9.000,
43.500,-9.000,
